"Quantity","Comment","Designator","Manufacturer","Value","Description","Footprint","Voltage","Dielectric","Manufacturer Part Number","LCSC Part Number"
"16","100 nF","C36, C37, C38, C39, C40, C73, C75, C76, C78, C79, C80, C81, C82, C83, C84, C85","Murata Electronics","100 nF","50V 100nF X7R ±10% 0402 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS","C_0402_TE","","","GRM155R71H104KE14D","C77020"
"22","10 µF","C41, C42, C43, C44, C51, C52, C53, C54, C61, C62, C63, C64, C89A, C89B, C89C, C89D, C121, C142A, C142B, C145, C146, C147","Samsung Electro-Mechanics","10 µF","50V 10uF X7R ±10% 1206  Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS","C_1206_TE","","","CL31B106KBHNNNE","C89632"
"7","47 µF","C72, C92A, C92B, C92C, C93A, C93B, C93C","Samsung Electro-Mechanics","47 µF","6.3V 47uF X5R ±20% 0805  Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS","C_0805_TE","6.3V","","CL21A476MQYNNNE","C16780"
"10","2.2 µF","C87A, C87B, C87C, C87D, C87E, C87F, C87G, C87H, C87I, C87J","Samsung Electro-Mechanics","2.2 µF","50V 2.2uF X5R ±10% 0603  Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS","C_0603_TE","50V","","CL10A225KB8NNNC","C913904"
"2","47 µF","C92D, C93D","TDK","47 µF","25V 47uF X5R ±20% 1206 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS","C_1206_TE","25V","","C3216X5R1E476MTJ00E","C76659"
"6","4.7 nF","C94A, C94B, C94C, C94D, C138A, C138B","Murata Electronics","4.7 nF","50V 4.7nF C0G ±5% 0603 Multilayer Ceramic Capacitors MLCC","C_0603_TE","","","GRM1885C1H472JA01D","C85980"
"4","47 pF","C95A, C95B, C95C, C95D","Samsung Electro-Mechanics","47 pF","50V 47pF C0G ±5% 0603 Multilayer Ceramic Capacitors MLCC","C_0603_TE","","","CL10C470JB8NNNC","C1671"
"4","4.7 µF","C98, C99, C114, C115","Samsung Electro-Mechanics","4.7 µF","16V 4.7uF X5R ±10% 0603  Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS","C_0603_TE","6.3V","","CL10A475KO8NNNC","C19666"
"5","100 pF","C112A, C112B, C113A, C113B, C124","YAGEO","100 pF","50V 100pF X7R ±10% 0603  Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS","C_0603_TE","50V","","CC0603KRX7R9BB101","C160903"
"3","330 µF","C126, C127, C128","Panasonic","330 µF","Aluminium Electrolytic Capacitors - SMD 330uF 50V","CAPAE1050X1250N","","","EEEFT1H331GP","C542207"
"3","1200 µF","C132, C133, C134","Panasonic","1200 µF","Aluminium Electrolytic Capacitors - SMD 1200uF 10V","CAPAE1050X1250N","","","EEE-FPA122UAP","C401755"
"1","2.2 nF","C140","Samsung Electro-Mechanics","2.2 nF","50V 2.2nF X7R ±10% 0603  Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS","C_0603_TE","50V","","CL10B222KB8NNNC","C16033"
"12","100 nF","C153, C154, C155, C156, C157, C158, C159, C160, C161, C162, C163, C164","YAGEO","100 nF","10V 100nF X5R ±10% 0201 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS","C_0201_TE","6.3 V","","CC0201KRX5R6BB104","C190183"
"6","LED Red","D1, D2, D3, D11, D16, D18","Lite-On","LED Red","20mA 99mcd Colorless transparent lens -30℃~+85℃ 631nm Red 130° 62.5mW 2V 0603  LED Indication - Discrete ROHS","WL-SMCW_0603","","","LTST-C190KRKT","C94869"
"1","SDMG0340LC-7-F","D4","Diodes Incorporated","40V","Schottky Diodes & Rectifiers 40V 200mW","SOT-23-3_PITCH1MM3","","","SDMG0340LC-7-F","C151617"
"4","LED Green","D5, D10, D14, D25","Lite-On","LED Green","20mA 260.5mcd Colorless transparent lens -20℃~+80℃ 520nm~535nm Emerald 130° 76mW 3.2V 0603 LED Indication - Discrete ROHS","WL-SMCW_0603","","","LTST-C191TGKT","C125101"
"2","40V","D6, D7","onsemi","40V","Schottky Diode, 40 V, 1 A","DIOM5226X262N","","","SS14","C83852"
"2","SMBJ30A","D8, D23","ON Semiconductor / Fairchild","30V","TVS Diode 30V 600W SMB unidirectional / ESD suppressor","DIOM5436X244N","","","SMBJ30A","C83851"
"1","LED Blue","D12","Lite-On","LED Blue","20mA 104mcd Colorless transparent lens -20℃~+80℃ 465nm~475nm Blue 130° 75mW 3.3V 0603  LED Indication - Discrete ROHS","WL-SMCW_0603","","","LTST-C191TBKT","C99290"
"2","BZX84C3V9LT1G-FixMe","D15A, D15B","onsemi","3.9V","Zener Diode, 3.9 V, 0.25 W, 5 %","SOT-23-3_ONSC","","","BZX84C3V9LT1G-FixMe","C94414"
"4","STPS340UY","D17A, D17B, D17C, D17D","STMicroelectronics","-","Power Schottky Rectifier, 3 A, 40 V, 0.57 µF","SMB","","","STPS340UY","C283520"
"1","MMSZ5242B-7-F","D22","Diodes Incorporated","12V","Zener Diode, 12V, 500 mW","DIOM5226X240N","12V","","MMSZ5242B-7-F","C500776"
"2","0154005.DR","F1, F2","Littlefuse","5 A","Fuse OMNI BLOK 154","Littlefuse_154","","","0154005.DR","C206916"
"4","SS5-80-3.50-L-D-K-TR","J1, J2, J3, J4","SAMTEC","","0.5 mm Ultra Fine Pitch Socket REF192552-01, 160 Pins","SS5-80-3.50-L-D-K-TR","","","SS5-80-3.50-L-D-K-TR","C5292077"
"1","MAMK2520T1R0M","L1","Taiyo Yuden","1uH","1uH @2MHz ±20%, 2.7A, 59mOhm, 5040","INDC2520X120N","","","MAMK2520T1R0M","C92924"
"3","MPZ1608S221ATA00","L2, L3, L4","TDK","220 Ohm","Ferritperle, 0603, 220 ohm, 2.2 A, Baureihe MPZ, 0.05 ohm, ± 25%","RES 0603_1608","","","MPZ1608S221ATA00","C76815"
"2","CBM100505U301T","L5, L9","FH (Guangdong Fenghua Advanced Tech)","300 mOhm","300mO ±25% 300O@100MHz 0402 Ferrite Beads ROHS","IND_0402_TE","","","CBM100505U301T","C394406"
"7","742792040","L6, L7, L8, L11A, L11B, L11C, L11D","Wuerth Elektronik","600 Ohm","Inductance, 0805, 100 MHz, 600 Ohm, 2 A","WE-CBF_0805_High Current","","","742792040","C2661857"
"1","CBM160808U101T","L10","FH (Guangdong Fenghua Advanced Tech)","60 mOhm","60mO ±25% 100O@100MHz 0603 Ferrite Beads ROHS","IND_0603_TE","","","CBM160808U101T","C361675"
"4","XAL5050-153MEC","L12A, L12B, L12C, L12D","Coilcraft","15uH","15uH@1MHz  ±20%, 3.9A, 76.7mOhm","XAL5050153MEC","","","XAL5050-153MEC","C5291298"
"26","10k","R1, R3, R5, R7, R39, R40, R41, R51, R54, R88, R95, R108, R111, R112, R113, R144C, R146, R148, R198, R199, R201, R202, R203A, R203B, R203D, R210","UNI-ROYAL(Uniroyal Elec)","10k","100mW Thick Film Resistors 75V ±100ppm/℃ ±1% 10kΩ 0603  Chip Resistor - Surface Mount ROHS","R_0603_TE","","","0603WAF1002T5E","C25804"
"5","220R","R2, R4, R6, R142, R147","UNI-ROYAL(Uniroyal Elec)","220R","100mW Thick Film Resistors 75V ±100ppm/℃ ±1% 220Ω 0603  Chip Resistor - Surface Mount ROHS","R_0603_TE","","","0603WAF2200T5E","C22962"
"10","20k","R8, R105B, R140A, R140B, R140C, R140D, R143A, R143B, R143C, R143D","UNI-ROYAL(Uniroyal Elec)","20k","100mW Thick Film Resistors 75V ±100ppm/℃ ±1% 20kΩ 0603 Chip Resistor - Surface Mount ROHS","R_0603_TE","","","0603WAF2002T5E","C4184"
"3","470R","R9, R52, R104","UNI-ROYAL(Uniroyal Elec)","470R","100mW Thick Film Resistors 75V ±100ppm/℃ ±1% 470Ω 0603  Chip Resistor - Surface Mount ROHS","R_0603_TE","","","0603WAF4700T5E","C23179"
"5","100R","R10, R38A, R38B, R91, R197","UNI-ROYAL(Uniroyal Elec)","100R","100mW Thick Film Resistors 75V ±1% ±200ppm/℃ 100Ω 0603  Chip Resistor - Surface Mount ROHS","R_0603_TE","","","0603WAF1000T5E","C22775"
"32","4k7","R11, R12, R13, R14, R17, R18, R20, R21, R22, R23, R24, R25, R29, R33A, R33B, R33C, R33D, R33E, R33F, R33G, R33H, R33I, R33J, R82, R84, R85, R86, R97, R99, R105A, R115, R116","UNI-ROYAL(Uniroyal Elec)","4k7","100mW Thick Film Resistors 75V ±100ppm/℃ ±1% 4.7kΩ 0603  Chip Resistor - Surface Mount ROHS","R_0603_TE","","","0603WAF4701T5E","C23162"
"15","2k7","R34ANL, R34BPs, R34DIG-A, R34DIG-B, R34DIG-C, R34DIG-D, R34DIG-E, R35ANL, R35BPs, R35DIG-A, R35DIG-B, R35DIG-C, R35DIG-D, R35DIG-E, R107B","UNI-ROYAL(Uniroyal Elec)","2k7","100mW Thick Film Resistors 75V ±100ppm/℃ ±1% 2.7kΩ 0603  Chip Resistor - Surface Mount ROHS","R_0603_TE","","","0603WAF2701T5E","C13167"
"13","1k2","R36A, R36B, R36C, R36D, R36E, R36F, R36G, R36H, R36I, R36J, R65, R66, R107A","UNI-ROYAL(Uniroyal Elec)","1k2","100mW Thick Film Resistors 75V ±100ppm/℃ ±1% 1.2kΩ 0603  Chip Resistor - Surface Mount ROHS","R_0603_TE","","","0603WAF1201T5E","C22765"
"2","200R","R37A, R37B","UNI-ROYAL(Uniroyal Elec)","200R","100mW Thick Film Resistors 75V ±100ppm/℃ ±1% 200Ω 0603  Chip Resistor - Surface Mount ROHS","R_0603_TE","","","0603WAF2000T5E","C8218"
"2","1k","R42, R92","UNI-ROYAL(Uniroyal Elec)","1k","100mW Thick Film Resistors 75V ±100ppm/℃ ±1% 1kΩ 0603  Chip Resistor - Surface Mount ROHS","R_0603_TE","","","0603WAF1001T5E","C21190"
"9","0R","R43, R110, R128, R129, R130, R131, R133, R136, R139","UNI-ROYAL(Uniroyal Elec)","0R","250mW Thick Film Resistors 200V ±800ppm/℃ ±1% 0Ω 1206  Chip Resistor - Surface Mount ROHS","R_1206_TE","","","1206W4F0000T5E","C17888"
"6","0R","R45, R48, R73, R203C, R222, R224","UNI-ROYAL(Uniroyal Elec)","0R","100mW Thick Film Resistors 75V ±1% 0Ω 0603 Chip Resistor - Surface Mount ROHS","R_0603_TE","","","0603WAF0000T5E","C21189"
"2","3k","R46, R47","UNI-ROYAL(Uniroyal Elec)","3k","100mW Thick Film Resistors 75V ±100ppm/℃ ±1% 3kΩ 0603  Chip Resistor - Surface Mount ROHS","R_0603_TE","","","0603WAF3001T5E","C4211"
"1","33R","R49","UNI-ROYAL(Uniroyal Elec)","33R","100mW Thick Film Resistors 75V ±100ppm/℃ ±1% 33Ω 0603  Chip Resistor - Surface Mount ROHS","R_0603_TE","","","0603WAF330JT5E","C23140"
"2","4k99","R50, R56","UNI-ROYAL(Uniroyal Elec)","4k99","1/10W Thick Film Resistors 75V ±1% ±100ppm/? -55?~+155? 4.99kO 0603 Chip Resistor - Surface Mount ROHS","RES 0603_1608","","","0603WAF4991T5E","C23046"
"45","47R","R52A, R52B, R52C, R52D, R52E, R57A, R57B, R57C, R57D, R57E, R58A, R58B, R58C, R58D, R58E, R59A, R59B, R59C, R59D, R59E, R60A, R60B, R60C, R60D, R60E, R61A, R61B, R61C, R61D, R61E, R62A, R62B, R62C, R62D, R62E, R63A, R63B, R63C, R63D, R63E, R64A, R64B, R64C, R64D, R64E","Bourns","47R","Resistor Networks & Arrays 47ohm 5% Convex 4resistors","RESCAV80P160X320X70-8N","","","CAY16-470J4LF","C16081"
"2","12k","R53, R78","YAGEO","12k","62.5mW Thick Film Resistors ±100ppm/? ±1% 12kO 0402 Chip Resistor - Surface Mount ROHS","R_0402_TE","","","RC0402FR-0712KL","C114760"
"1","4k7","R55","YAGEO","4k7","62.5mW Thick Film Resistors ±100ppm/? ±1% 4.7kO 0402 Chip Resistor - Surface Mount ROHS","R_0402_TE","","","RC0402FR-074K7L","C105871"
"2","200k","R67, R145D","UNI-ROYAL(Uniroyal Elec)","200k","100mW Thick Film Resistors 75V ±100ppm/℃ ±1% 200kΩ 0603  Chip Resistor - Surface Mount ROHS","R_0603_TE","","","0603WAF2003T5E","C25811"
"2","2k2","R68, R69","UNI-ROYAL(Uniroyal Elec)","2k2","100mW Thick Film Resistors 75V ±100ppm/℃ ±1% 2.2kΩ 0603  Chip Resistor - Surface Mount ROHS","R_0603_TE","","","0603WAF2201T5E","C4190"
"4","2k","R74, R75, R141A, R141B","UNI-ROYAL(Uniroyal Elec)","2k","100mW Thick Film Resistors 75V ±100ppm/℃ ±1% 2kΩ 0603  Chip Resistor - Surface Mount ROHS","R_0603_TE","","","0603WAF2001T5E","C22975"
"1","33R","R76","YAGEO","33R","62.5mW Thick Film Resistors ±100ppm/? ±1% 33O 0402 Chip Resistor - Surface Mount ROHS","R_0402_TE","","","RC0402FR-0733RL","C138002"
"1","2k2","R77","YAGEO","2k2","62.5mW Thick Film Resistors ±100ppm/? ±1% 2.2kO 0402 Chip Resistor - Surface Mount ROHS","R_0402_TE","","","RC0402FR-072K2L","C114762"
"6","0R","R79, R80, R81, R98, R100, R101","YAGEO","0R","62.5mW Thick Film Resistors 50V 0O 0402 Chip Resistor - Surface Mount ROHS","R_0402_TE","","","RC0402JR-070RL","C60485"
"4","1k5","R83, R87, R93, R94","UNI-ROYAL(Uniroyal Elec)","1k5","100mW Thick Film Resistors 75V ±100ppm/℃ ±1% 1.5kΩ 0603  Chip Resistor - Surface Mount ROHS","R_0603_TE","","","0603WAF1501T5E","C22843"
"1","8k06","R90","YAGEO","8k06","62.5mW Thick Film Resistors 50V ±100ppm/℃ ±1% 8.06kΩ 0402  Chip Resistor - Surface Mount ROHS","R_0402_TE","","","RC0402FR-078K06L","C276278"
"1","120k","R102","UNI-ROYAL(Uniroyal Elec)","120k","100mW Thick Film Resistors 75V ±100ppm/℃ ±1% 120kΩ 0603  Chip Resistor - Surface Mount ROHS","R_0603_TE","","","0603WAF1203T5E","C25808"
"1","30k","R103","UNI-ROYAL(Uniroyal Elec)","30k","100mW Thick Film Resistors 75V ±100ppm/℃ ±1% 30kΩ 0603  Chip Resistor - Surface Mount ROHS","R_0603_TE","","","0603WAF3002T5E","C22984"
"6","47k","R106A, R106B, R172, R173, R219, R220","UNI-ROYAL(Uniroyal Elec)","47k","100mW Thick Film Resistors 75V ±100ppm/℃ ±1% 47kΩ 0603  Chip Resistor - Surface Mount ROHS","R_0603_TE","","","0603WAF4702T5E","C25819"
"1","31k6","R141C","UNI-ROYAL(Uniroyal Elec)","31k6","100mW Thick Film Resistors 75V ±100ppm/℃ ±1% 31.6kΩ 0603  Chip Resistor - Surface Mount ROHS","R_0603_TE","","","0603WAF3162T5E","C25967"
"1","51k","R141D","UNI-ROYAL(Uniroyal Elec)","51k","100mW Thick Film Resistors 75V ±100ppm/℃ ±1% 51kΩ 0603 Chip Resistor - Surface Mount ROHS","R_0603_TE","","","0603WAF5102T5E","C23196"
"2","1k6","R144A, R144B","UNI-ROYAL(Uniroyal Elec)","1k6","100mW Thick Film Resistors 75V ±100ppm/℃ ±1% 1.6kΩ 0603  Chip Resistor - Surface Mount ROHS","R_0603_TE","","","0603WAF1601T5E","C22847"
"1","3k6","R144D","UNI-ROYAL(Uniroyal Elec)","3k6","100mW Thick Film Resistors 75V ±100ppm/℃ ±1% 3.6kΩ 0603 Chip Resistor - Surface Mount ROHS","R_0603_TE","","","0603WAF3601T5E","C22980"
"3","412k TK100","R145A, R145B, R145C","UNI-ROYAL(Uniroyal Elec)","412k TK100","100mW Thick Film Resistors 75V ±100ppm/℃ ±1% 412kΩ 0603  Chip Resistor - Surface Mount ROHS","R_0603_TE","","","0603WAF4123T5E","C23050"
"2","PTS645SM43SMTR92LFS","S1, S2","C&K COMPONENTS","Push Button","50mA SPST 160gf 12V SMD-4P,6x6mm Tactile Switches ROHS","PTS645_SMT","","","PTS645SM43SMTR92LFS","C221880"
"3","DSHP04TS-S","SW1, SW2, SW3","XKB Connectivity","DIP-Switch","04p, 1.27mm Pitch, Horizontal, HP Type, SMT, flat Actuator, black, with Tape, T&R","416131160804","","","DSHP04TS-S","C319050"
"8","MMBT3904","T1, T2, T3, T4, T5, T6, T7, T10","Jiangsu Changjing Electronics Technology Co., Ltd.","40 V","Bipolartransistor, 40V 200mW 200mA 100@10mA,1V 300MHz 300mV@50mA,5mA NPN +150?@(Tj) SOT-23(SOT-23-3)","SOT95P280X145-3N","","","MMBT3904","C20526"
"2","DMP4015SSS-13","T8, T11","Diodes Incorporated","40 V","MOSFET MOSFET BVDSS: 41V-60 1V-60V SO-8 T&R 2.5K","SOIC127P600X175-8N","","","DMP4015SSS-13","C508210"
"10","TPS1H000AQDGNRQ1","U1A, U1B, U1C, U1D, U1E, U1F, U1G, U1H, U1I, U1J","Texas Instruments","TPS1H000AQDGNRQ1","Power Switch ICs - Power Distribution 40-V, 1-ohm, 1-ch automotive smart high-side switch with adjustable current limit 8-HVSSOP -40 to 125","SOP65P490X110-9N","","","TPS1H000AQDGNRQ1","C2653764"
"1","88E1512-A0-NNP2I000","U2","Marvell","","Ethernet ICs Single-Port EEE GE PHY w/SGMII in 56-pin QFN","QFN50P800X800X100-57N","","","88E1512-A0-NNP2I000","C713256"
"1","SG-8018CB 25.000000MHz TJHSA","U3","Seiko Epson","25 MHz","±50ppm 1.8V~3.3V 25MHz SMD5032-4P Programmable Oscillators ROHS","SMD5032-4P","","","SG-8018CB 25.000000MHz TJHSA","C390471"
"5","LCMXO2-2000HC-4TG100C","U4A, U4B, U4C, U4D, U4E","Lattice","","TQFP-100(14x14) Programmable Logic Device (CPLDs/FPGAs) ROHS","QFP50P1600X1600X160-100N","","","LCMXO2-2000HC-4TG100C","C1521632"
"1","DSC1123CI2-125.0000T","U5","Microchip","DSC1123CI2-125.0000T","Standard Clock Oscillators MEMS OSC, LVDS, 125MHz, 25PPM, 2.5-3.3V, -40 to 85C, 3.2 x 2.5mm","PSON105P320X250X90-6N","","","DSC1123CI2-125.0000T","C1987227"
"1","TCA9548APWR","U6","Texas Instruments","TCA9548APWR","Switch ICs - Various 8-Channel I2C Switch","FP-PW0024A-IPC_A","","","TCA9548APWR","C130026"
"1","TPMIC5504-3.3YMT","U7","TECH PUBLIC","3.3 V","DFN-4-EP(1x1) Linear Voltage Regulators (LDO) ROHS","DFN-4-EP","","","TPMIC5504-3.3YMT","C3021135"
"1","FT4232H-56Q-TRAY","U8","FTDI","FT4232H-56Q-TRAY","USB Interface IC Quad 480Mbs 4 UART USB 2.0 12Mbit","QFN50P800X800-57T610X610N","","","FT4232H-56Q-TRAY","C1521561"
"1","SIT8008BI-73-XXS-12.000000G","U9","SiTime","12 MHz","Clock-Standardoszillatoren -40 to 85C, 2016, 50ppm, 2.25V-3.63V, 12MHz, ST, 250 pcs T&R 8 mm","2016","","","SIT8008BI-73-XXS-12.000000G","C1508636"
"3","LMZ23605TZX/NOPB","U10, U11, U12","Texas Instruments","","Switching Voltage Regulators Gen2 36Vin 5A Module","7TO-PMOD","","","LMZ23605TZX/NOPB","C913851"
"1","TXS02612RTWR","U13","Texas Instruments","","SDIO Port Expander with voltage level Translation","QFN50P400X400X80-25N-255","","","TXS02612RTWR","C140276"
"1","M93C66-RMC6TG","U14","STMicroelectronics","M93C66-RMC6TG","4Kbit MICROWIRE EE 1.8 V to 5.5 V","UFDFPN8","","","M93C66-RMC6TG","C2061956"
"2","ISO6741FDWR","U15, U17","Texas Instruments","ISO6741FDWR","Digital Isolators General-purpose, quad-channel, 3/1 digital isolator 16-SOIC -40 to 125","SOIC127P1030X265-16N","","","ISO6741FDWR","C5216433"
"1","ISO6742FDWR","U16","Texas Instruments","ISO6742FDWR","Digital Isolators General-purpose, quad-channel, 2/2 digital isolator","SOIC127P1030X265-16N","","","ISO6742FDWR","C5216408"
"2","TPS780180300DRVR","U18, U22","Texas Instruments","1.8 V, 3 V","LDO Voltage Regulators 150mA,LDO Reg,Ultra Low Pwr","SON65P200X200X80-7N","","","TPS780180300DRVR","C2860011"
"1","LCMXO2-4000HC-4TG144C","U19","Lattice","","TQFP-144(20x20) Programmable Logic Device (CPLDs/FPGAs) ROHS","QFP50P2200X2200X160-144N","","","LCMXO2-4000HC-4TG144C","C1521625"
"2","ULN2803A","U20, U21","UMW(Youtai Semiconductor Co., Ltd.)","","Darlington Transistors Eight NPN Array","FP-SOICW-18LD-PL-1-IPC_B","","","ULN2803A","C845537"
"4","TPS54260QDGQRQ1","U23A, U23B, U23C, U23D","Texas Instruments","2.5 A","High Efficiency Step-Down Converter, MSOP Package, 2.5 A, 3.5 - 60 V input, adjustable output","TSOP-10_DGQ0010D_N","","","TPS54260QDGQRQ1","C181278"
"1","SN74AVC4T774RSVR","U24","Texas Instruments","","4-Bit Dual-Supply Bus Transceiver with configurable Voltage-Level Shifting; belongs to SN74AVC4T774RSVR","QFN40P260X180X55-16N","","","SN74AVC4T774RSVR","C779392"
"1","SN74LVC138APWR","U25","Texas Instruments","","3-Line to 8-Line Decoders Demultiplexers","TSSOP-16","","","SN74LVC138APWR","C485077"
"1","M24512-DFMN6TP","U26","STMicroelectronics","M24512-DFMN6TP","512Kbit 1MHz I2C SOP-8 EEPROM ROHS","D0008A_N","","","M24512-DFMN6TP","C222090"
"1","PCA9306DCUR","U27","Texas Instruments","","Translation - Voltage Levels Dual BiDir I2C-Bus & SMBus Vltg Lvl-Trans","FP-DCU0008A-IPC_B","","","PCA9306DCUR","C33196"
"2","TPS3803-01QDCKRQ1","U28A, U28B","Texas Instruments","TPS3803-01QDCKRQ1","Supervisory Circuits Auto Cat Dual Vltg Detectors","FP-DCK0005A-IPC_B","","","TPS3803-01QDCKRQ1","C129371"
"1","MAX31760AEE+T","U29","Analog Devices Inc.","","Motor/Motion/Ignition Controllers & Drivers Fan Speed Controller with LUT t&r","SOP64P602X175-16N","","","MAX31760AEE+T","C3031567"
"6","HTEC8-150-01-L-DV-K","X1, X6A, X6B, X6C, X6D, X6E","SAMTEC","","HTEC8-150-01-L-DV-K mating connector for card layout","HTEC8-150-XX-X-DV","","","HTEC8-150-01-L-DV-K","C20365621"
"5","HTEC8-140-01-L-DV-K","X2A, X2B, X5A, X5B, X5C","SAMTEC","","Headers & Wire Housings 0.80 mm Rugged High-Speed Edge Card Connectors","HTEC8-140-XX-X-DV","","","HTEC8-140-01-L-DV-K","C20365608"
"2","47053-1000-PWM4FAN","X4A, X4B","Molex","","Headers & Wire Housings 4P VERT HDR W/FL","470531000","","","47053-1000-PWM4FAN","C240840"
"1","1757242","X14","Phoenix Contact","","Pluggable Terminal Blocks 2 Pos 5.08mm pitch Through Hole Header","1757242","","","1757242","C90074"
"1","104031-0811","X16","Molex","","microSD Memory Card Connector with detect switch","104031-0811","","","104031-0811","C585350"
