"Quantity","Comment","Designator","Manufacturer","Value","Description","Footprint","Voltage","Dielectric","Manufacturer Part Number","LCSC Part Number"
"1","CR1220-2","B1","Q&J","","Battery base CR1220 SMD Button And Strip Battery Connector ROHS","CR1220","","","CR1220-2","C70381"
"11","100 µF","C1, C46, C48, C49, C56, C58, C59, C66, C68, C69, C108","Samsung Electro-Mechanics","100 µF","6.3V 100uF X5R ±20% 1206 Multilayer Ceramic Capacitors MLCC","C_1206_TE","","","CL31A107MQHNNNE","C15008"
"8","10 nF","C2, C97, C100, C101, C149, C150, C151, C152","YAGEO","10 nF","16V 10nF X7R ±10% 0201  Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS","C_0201_TE","6.3 V","","CC0201KRX7R7BB103","C272853"
"17","470 nF","C3, C5, C6, C7, C8, C9, C10, C14, C15, C16, C18, C20, C47, C57, C67, C71, C96","Samsung Electro-Mechanics","470 nF","Capacitor 0603, 50 VDC, 470 nF, X5R","C_0603","","","CL10A474KB8NNNC","C170149"
"99","100 nF","C4, C22A, C22B, C22C, C22D, C22E, C23A, C23B, C23C, C23D, C23E, C24A, C24B, C24C, C24D, C24E, C25A, C25B, C25C, C25D, C25E, C30A, C30B, C30C, C30D, C30E, C31A, C31B, C31C, C31D, C31E, C32A, C32B, C32C, C32D, C32E, C34A, C34B, C34C, C34D, C34E, C38A, C38B, C38C, C38D, C38E, C45, C55, C65, C74A, C74B, C74C, C74D, C74E, C75A, C75B, C75C, C75D, C75E, C86A, C86B, C86C, C86D, C86E, C86F, C86G, C86H, C86I, C86J, C88A, C88B, C88C, C88D, C90A, C90B, C90C, C90D, C91A, C91B, C91C, C91D, C103, C105, C107, C109, C111, C116, C117, C118, C119, C120, C122, C123, C125, C139A, C139B, C141, C143A, C143B","YAGEO","100 nF","50V 100nF X7R ±10% 0603 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS","C_0603_TE","50 V, 50V","","CC0603KRX7R9BB104","C14663"
"61","10 µF","C4A, C4B, C4C, C4D, C4E, C12A, C12B, C12C, C12D, C12E, C17, C19, C26A, C26B, C26C, C26D, C26E, C27A, C27B, C27C, C27D, C27E, C28A, C28B, C28C, C28D, C28E, C29A, C29B, C29C, C29D, C29E, C33A, C33B, C33C, C33D, C33E, C35A, C35B, C35C, C35D, C35E, C37A, C37B, C37C, C37D, C37E, C40A, C40B, C40C, C40D, C40E, C73A, C73B, C73C, C73D, C73E, C102, C104, C106, C110","YAGEO","10 µF","6.3V 10uF X5R ±20% 0603  Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS","C_0603_TE","6.3V","","CC0603MRX5R5BB106","C109454"
"2","4.7 µF","C11, C13","muRata","4.7 µF","Capacitor 0603, 35 VDC, 4.7 µF, X5R","C_0603","","","GRM188R6YA475KE15D","C162274"
"2","10 µF","C12, C34","Samsung Electro-Mechanics","10 µF","Capacitor 0603, 16 VDC, 10 µF, X5R","C_0603","","","CL10A106MO8NQNC","C92487"
"4","220 nF","C21, C50, C60, C70","YAGEO","220 nF","50V 220nF X7R ±10% 0603  Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS","C_0603_TE","50V, 50 V","","CC0603KRX7R9BB224","C107083"
"3","4.7 µF","C35, C74, C77","Samsung Electro-Mechanics","4.7 µF","6.3V 4.7uF X5R ±20% 0402 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS","C_0402_TE","","","CL05A475MQ5NRNC","C307423"
